p7 AGREEMENT LADDER -- CORRECTED REBUILD (campaign cycle 36)
built 2026-08-20 from RAW probe.jsonl on alice:/data1/salehkaleybars/metaopt/runs/p7free
92 arms x 100 records, all complete; config uniform (HF/SGDm base, Lion meta, alpha0=1e-3,
meta_stepsize=1e-3, 20 epochs, AUGMENT=1, BETA_CLIP=-15:-2.3026, HIER=none).

Supersedes results/p7_c31.txt, which was a partial snapshot (46 of 92 arms per window) and
carried two measurement defects, both fixed here:
  D1  drift/step averaged beta with EQUAL WEIGHT PER TENSOR.  probe.jsonl stores
      beta[i] = mean of tensor i's beta groups (HF.py:346), so the group mean needs weights
      w_i = #groups in tensor i: 1 (blk6, layerwise), out-dim (nodewise), numel (weightwise).
      Equal weighting is exact for blk6/layerwise and WRONG for nodewise/weightwise.
  D2  null% used the asymptotic 0.5 + sqrt(2/pi)/(2 sqrt(m)).  Replaced by the EXACT
      E[max(k,m-k)/m], k~Bin(m,1/2)  =  1/2 + ceil(m/2)*C(m,ceil(m/2))/(m*2^m)  (de Moivre).
      At m=6 that is 65.6250%, not 66.2868% -- the asymptotic form biased every m=6
      excess DOWN by 0.6618pp.  Bias is 0.0424pp at m=38, 0.0204pp at m=62, <0.01pp at m>=110.

CONTROL: this reader reproduces alice:/data1/salehkaleybars/metaopt/bin/agree2.py bit-exactly
(max abs discrepancy 0 over all 92 arms x 2 windows x 7 fields).  Every row of p7_c31.txt is
reproduced unchanged by the uncorrected path; c31 differs from the full run ONLY by omission.
NOTE: analysis/agree2.py in the repo differs from the published bin/agree2.py on one line --
limit_denominator(20_000_000) vs (100_000_000) -- which silently mis-infers n_tot for
ResNet-34 weightwise (21,282,122 > 20M).  Use the bin/ copy.  n_tot is cross-checked here
against torch parameter shapes and matches exactly for all 12 (arch,dataset,granularity) cells.

Columns 1-9 are the p7_c31.txt format (null% and drift/step now CORRECTED in place).
Columns 10-12 are appended: the legacy values, for direct comparison.

### STEADY window (last 50% of records)
arm                                  n_tot   frac0      sys%     step%     null%  step-null   sd_beta  drift/step | null_asym%   drift_eqw sd_beta_eqw
p7-r18-node-s7                      14,420   0.017   52.0141   52.5228   50.3359     2.1869    0.3547   2.159e-04 |    50.3350   1.755e-04      0.3103
p7-r18-node-s8                      14,420   0.017   52.4214   52.8453   50.3359     2.5094    0.3678   2.106e-04 |    50.3350   1.680e-04      0.3224
p7-r18-node-s9                      14,420   0.017   53.0875   53.2396   50.3359     2.9036    0.3616   2.233e-04 |    50.3350   1.788e-04      0.3117
p7-r18-w-s0                     11,173,962   0.000   50.1277   50.1423   50.0119     0.1303    0.0075   5.801e-06 |    50.0119   2.538e-05      0.0564
p7-r18-w-s1                     11,173,962   0.000   50.1594   50.1762   50.0119     0.1642    0.0081   5.538e-06 |    50.0119   3.171e-05      0.0625
p7-r18-w-s2                     11,173,962   0.000   50.1868   50.2065   50.0119     0.1946    0.0081   6.636e-06 |    50.0119   3.595e-05      0.0710
p7-r18-w-s3                     11,173,962   0.000   50.1745   50.1867   50.0119     0.1748    0.0081   5.355e-06 |    50.0119   2.330e-05      0.0616
p7-r18-w-s4                     11,173,962   0.000   50.0958   50.1638   50.0119     0.1519    0.0074   7.501e-06 |    50.0119   3.336e-05      0.0639
p7-r18-w-s5                     11,173,962   0.000   50.1430   50.1903   50.0119     0.1783    0.0090   4.746e-06 |    50.0119   3.013e-05      0.0670
p7-r18-w-s6                     11,173,962   0.000   50.1223   50.1667   50.0119     0.1548    0.0075   5.975e-06 |    50.0119   2.660e-05      0.0582
p7-r18-w-s7                     11,173,962   0.000   50.0818   50.1159   50.0119     0.1040    0.0075   7.180e-06 |    50.0119   3.114e-05      0.0649
p7-r18-w-s8                     11,173,962   0.000   50.1099   50.1469   50.0119     0.1350    0.0082   6.601e-06 |    50.0119   3.400e-05      0.0778
p7-r18-w-s9                     11,173,962   0.000   50.1404   50.1669   50.0119     0.1550    0.0072   6.417e-06 |    50.0119   2.954e-05      0.0558
p7-r34-lay-s1                          110   0.016   59.2421   62.4767   53.8365     8.6402    0.4066   4.016e-04 |    53.8353   4.016e-04      0.4066
p7-r34-lay-s2                          110   0.016   58.5490   61.7015   53.8365     7.8650    0.4326   4.351e-04 |    53.8353   4.351e-04      0.4326
p7-r34-node-s1                      25,556   0.017   51.9956   52.1326   50.2524     1.8802    0.2613   1.303e-04 |    50.2517   9.192e-05      0.2319
p7-r34-node-s2                      25,556   0.017   51.9948   52.4718   50.2524     2.2195    0.2628   1.223e-04 |    50.2517   8.766e-05      0.2348
p7-r34-w-s1                     21,282,122   0.000   50.0437   50.0613   50.0086     0.0527    0.0091   1.714e-05 |    50.0086   4.501e-05      0.0522
p7-r34-w-s2                     21,282,122   0.000   50.0701   50.0852   50.0086     0.0766    0.0097   1.831e-05 |    50.0086   5.193e-05      0.0692

### CORRECTED LADDER -- seed-aggregated, full n
-- STEADY
family     gran            m   n |     step%     null%      sys%  excess_pp |     |2p-1|      noise     excess  noise% |     drift_w   drift_eqw
------------------------------------------------------------------------------------------------------------------------------------------------
R18/C10    blk6            6  10 |   69.7333   65.6250   66.4667     4.1083 |  3.947e-01  3.125e-01  8.217e-02   79.2% |   4.542e-04   4.542e-04
R18/C10    lay            62  10 |   56.0194   55.0462   52.4516     0.9732 |  1.204e-01  1.009e-01  1.946e-02   83.8% |   2.166e-04   2.166e-04
R18/C10    node        14420  10 |   50.7324   50.3322   50.6384     0.4001 |  1.465e-02  6.644e-03  8.003e-03   45.4% |   1.053e-04   8.974e-05
R18/C10    w        11173962  10 |   50.0168   50.0119   50.0037     0.0048 |  3.354e-04  2.387e-04  9.671e-05   71.2% |   6.639e-06   5.543e-05
R18/C100   blk6            6  10 |   67.3000   65.6250   60.5000     1.6750 |  3.460e-01  3.125e-01  3.350e-02   90.3% |   2.927e-04   2.927e-04
R18/C100   lay            62  10 |   59.1677   55.0462   57.5161     4.1216 |  1.834e-01  1.009e-01  8.243e-02   55.0% |   2.610e-04   2.610e-04
R18/C100   node        14600  10 |   51.8482   50.3302   51.8390     1.5181 |  3.696e-02  6.603e-03  3.036e-02   17.9% |   1.306e-04   9.119e-05
R18/C100   w        11220132  10 |   50.0222   50.0119   50.0117     0.0103 |  4.443e-04  2.382e-04  2.061e-04   53.6% |   1.114e-05   6.967e-05
R10/C10    lay            38   2 |   58.9474   56.4293   55.8947     2.5181 |  1.789e-01  1.286e-01  5.036e-02   71.9% |   2.995e-04   2.995e-04
R10/C10    node         8660   2 |   51.7998   50.4287   51.7102     1.3711 |  3.600e-02  8.574e-03  2.742e-02   23.8% |   1.607e-04   1.203e-04
R10/C10    w         4903242   2 |   50.0440   50.0180   50.0107     0.0260 |  8.806e-04  3.604e-04  5.202e-04   40.9% |   1.219e-05   7.088e-05
R34/C10    lay           110   2 |   55.3182   53.7951   52.1364     1.5231 |  1.064e-01  7.590e-02  3.046e-02   71.4% |   1.752e-04   1.752e-04
R34/C10    node        25556   2 |   50.4937   50.2496   50.3886     0.2442 |  9.875e-03  4.991e-03  4.884e-03   50.5% |   9.499e-05   8.525e-05
R34/C10    w        21282122   2 |   50.0119   50.0086   50.0026     0.0032 |  2.378e-04  1.730e-04  6.487e-05   72.7% |   5.228e-06   5.665e-05

-- STARTUP
family     gran            m   n |     step%     null%      sys%  excess_pp |     |2p-1|      noise     excess  noise% |     drift_w   drift_eqw
------------------------------------------------------------------------------------------------------------------------------------------------
R18/C10    blk6            6  10 |   75.0833   65.6250   70.0833     9.4583 |  5.017e-01  3.125e-01  1.892e-01   62.3% |   5.937e-04   5.937e-04
R18/C10    lay            62  10 |   65.9274   55.0998   61.8770    10.8276 |  3.185e-01  1.020e-01  2.166e-01   32.0% |   5.139e-04   5.139e-04
R18/C10    node        14420  10 |   53.2562   50.3359   52.9273     2.9202 |  6.512e-02  6.719e-03  5.840e-02   10.3% |   2.199e-04   1.759e-04
R18/C10    w        11173962  10 |   50.1662   50.0119   50.1342     0.1543 |  3.324e-03  2.387e-04  3.086e-03    7.2% |   6.175e-06   3.011e-05
R18/C100   blk6            6  10 |   78.3333   65.6250   76.6667    12.7083 |  5.667e-01  3.125e-01  2.542e-01   55.1% |   8.363e-04   8.363e-04
R18/C100   lay            62  10 |   69.3644   55.0998   69.3689    14.2646 |  3.873e-01  1.020e-01  2.853e-01   26.3% |   6.587e-04   6.587e-04
R18/C100   node        14600  10 |   53.3028   50.3338   53.3331     2.9690 |  6.606e-02  6.676e-03  5.938e-02   10.1% |   2.676e-04   2.296e-04
R18/C100   w        11220132  10 |   50.1568   50.0119   50.1565     0.1449 |  3.136e-03  2.382e-04  2.898e-03    7.6% |   1.213e-06   3.999e-06
R10/C10    lay            38   2 |   70.0455   56.4953   68.3824    13.5503 |  4.009e-01  1.299e-01  2.710e-01   32.4% |   6.260e-04   6.260e-04
R10/C10    node         8660   2 |   55.5127   50.4335   55.4568     5.0793 |  1.103e-01  8.670e-03  1.016e-01    7.9% |   3.238e-04   2.963e-04
R10/C10    w         4903242   2 |   50.4003   50.0180   50.3883     0.3823 |  8.006e-03  3.603e-04  7.646e-03    4.5% |   1.620e-05   1.077e-05
R34/C10    lay           110   2 |   62.0891   53.8365   58.8956     8.2526 |  2.418e-01  7.673e-02  1.651e-01   31.7% |   4.184e-04   4.184e-04
R34/C10    node        25556   2 |   52.3022   50.2524   51.9952     2.0498 |  4.604e-02  5.047e-03  4.100e-02   11.0% |   1.263e-04   8.979e-05
R34/C10    w        21282122   2 |   50.0733   50.0086   50.0569     0.0646 |  1.465e-03  1.730e-04  1.293e-03   11.8% |   1.773e-05   4.847e-05

### DRIFT-vs-m REGRESSION   log10(drift) ~ b*log10(m)
(A) seed bootstrap, 5000 resamples, SEEDS resampled within rung, all seed-points in the OLS
setting                   slope               95% CI     R2 rungs  n_pts  excludes -0.500
R10/C10/STEADY          -0.2759  [-0.2784,-0.2733]  0.916     3      6  YES
R18/C10/STEADY          -0.2800  [-0.2817,-0.2785]  0.950     4     40  YES
R18/C100/STEADY         -0.2262  [-0.2280,-0.2244]  0.910     4     40  YES
R34/C10/STEADY          -0.2940  [-0.2977,-0.2902]  0.913     3      6  YES
R10/C10/STARTUP         -0.3153  [-0.3215,-0.3090]  0.907     3      6  YES
R18/C10/STARTUP         -0.3155  [-0.3214,-0.3099]  0.893     4     40  YES
R18/C100/STARTUP        -0.4569  [-0.4870,-0.4325]  0.851     4     40  YES
R34/C10/STARTUP         -0.2609  [-0.2669,-0.2550]  0.993     3      6  YES
POOLED/STEADY           -0.2564  [-0.2612,-0.2517]  0.919    12     92  YES
POOLED/STARTUP          -0.3704  [-0.3837,-0.3590]  0.822    12     92  YES

(B) legacy equal-per-tensor drift, same bootstrap -- for comparison
R10/C10/STEADY          -0.1214  [-0.1234,-0.1194]  YES
R18/C10/STEADY          -0.1398  [-0.1414,-0.1383]  YES
R18/C100/STEADY         -0.1082  [-0.1099,-0.1064]  YES
R34/C10/STEADY          -0.0915  [-0.0951,-0.0879]  YES
R10/C10/STARTUP         -0.3512  [-0.3649,-0.3376]  YES
R18/C10/STARTUP         -0.2122  [-0.2181,-0.2066]  YES
R18/C100/STARTUP        -0.3775  [-0.4052,-0.3548]  YES
R34/C10/STARTUP         -0.1739  [-0.1831,-0.1647]  YES

(C) CONSERVATIVE rung-level CI: OLS on the R rung geometric means, residual scatter, R-2 df.
    This is the honest interval for a 3-4 point power-law fit; the seed bootstrap in (A) only
    propagates seed noise and treats the power law itself as exact.
setting                   slope               95% CI     R local slopes between adjacent rungs
R18/C10/STEADY          -0.2800  [-0.4747,-0.0853]     4  -0.318 -0.132 -0.415         excl -0.5: YES
R18/C10/STARTUP         -0.3155  [-0.6455,+0.0146]     4  -0.061 -0.156 -0.538         excl -0.5: no
R18/C100/STEADY         -0.2262  [-0.4413,-0.0111]     4  -0.049 -0.127 -0.371         excl -0.5: YES
R18/C100/STARTUP        -0.4569  [-1.0098,+0.0960]     4  -0.102 -0.165 -0.837         excl -0.5: no
R10/C10/STEADY          -0.2759  [-1.3392,+0.7875]     3  -0.115 -0.407                excl -0.5: no
R10/C10/STARTUP         -0.3153  [-1.5940,+0.9635]     3  -0.121 -0.473                excl -0.5: no
R34/C10/STEADY          -0.2940  [-1.4469,+0.8590]     3  -0.112 -0.431                excl -0.5: no
R34/C10/STARTUP         -0.2609  [-0.5220,+0.0001]     3  -0.220 -0.292                excl -0.5: no

### |2p-1| ~ m^b   (the tension with the sqrt(N) refutation)
(A) raw |2p-1| = 2*step - 1, seed bootstrap
R10/C10/STEADY         b -0.4554  [-0.4651,-0.4457]  R2 0.967
R18/C10/STEADY         b -0.4816  [-0.4872,-0.4753]  R2 0.992
R18/C100/STEADY        b -0.4564  [-0.4629,-0.4499]  R2 0.953
R34/C10/STEADY         b -0.5034  [-0.5075,-0.4993]  R2 0.995
R10/C10/STARTUP        b -0.3348  [-0.3394,-0.3302]  R2 0.978
R18/C10/STARTUP        b -0.3498  [-0.3582,-0.3409]  R2 0.975
R18/C100/STARTUP       b -0.3654  [-0.3714,-0.3590]  R2 0.978
R34/C10/STARTUP        b -0.4241  [-0.4406,-0.4076]  R2 0.978
POOLED/STEADY          b -0.4704  [-0.4753,-0.4654]  R2 0.968
POOLED/STARTUP         b -0.3600  [-0.3652,-0.3548]  R2 0.971
(B) excess-over-exact-null 2*(step - null), seed bootstrap
R10/C10/STEADY         b -0.3945  [-0.4183,-0.3707]  R2 0.874
R18/C10/STEADY         b -0.4301  [-0.4565,-0.4013]  R2 0.886
R18/C100/STEADY        b -0.1407  [-0.3909,+0.2209]  R2 0.020
R34/C10/STEADY         b -0.5113  [-0.5262,-0.4965]  R2 0.969
R10/C10/STARTUP        b -0.3061  [-0.3119,-0.3002]  R2 0.956
R18/C10/STARTUP        b -0.2812  [-0.3079,-0.2373]  R2 0.784
R18/C100/STARTUP       b -0.3218  [-0.3311,-0.3122]  R2 0.933
R34/C10/STARTUP        b -0.4042  [-0.4238,-0.3846]  R2 0.964
POOLED/STEADY          b -0.2997  [-0.4203,-0.1308]  R2 0.160
POOLED/STARTUP         b -0.3066  [-0.3213,-0.2860]  R2 0.860
(C) the PURE-NOISE term 2*null-1 alone, rung-level fit -- it IS m^-1/2 by construction
R18/C10/STEADY         b -0.4978  [-0.5047,-0.4910]  local -0.484 -0.499 -0.500
R18/C10/STARTUP        b -0.4980  [-0.5077,-0.4883]  local -0.479 -0.499 -0.502
R18/C100/STEADY        b -0.4978  [-0.5047,-0.4910]  local -0.484 -0.499 -0.500
R18/C100/STARTUP       b -0.4980  [-0.5076,-0.4884]  local -0.479 -0.499 -0.502
R10/C10/STEADY         b -0.4994  [-0.5036,-0.4952]  local -0.499 -0.500
R10/C10/STARTUP        b -0.5003  [-0.5117,-0.4890]  local -0.499 -0.502
R34/C10/STEADY         b -0.4998  [-0.5013,-0.4983]  local -0.500 -0.500
R34/C10/STARTUP        b -0.5007  [-0.5084,-0.4930]  local -0.500 -0.502
(D) rung-level (conservative) CI on the raw |2p-1| fit
R18/C10/STEADY         b -0.4816  [-0.6066,-0.3566]  local -0.509 -0.386 -0.568
R18/C10/STARTUP        b -0.3498  [-0.5026,-0.1969]  local -0.191 -0.292 -0.448
R18/C100/STEADY        b -0.4564  [-0.7600,-0.1528]  local -0.272 -0.293 -0.666
R18/C100/STARTUP       b -0.3654  [-0.5229,-0.2080]  local -0.161 -0.324 -0.459
R10/C10/STEADY         b -0.4554  [-1.5118,+0.6010]  local -0.295 -0.586
R10/C10/STARTUP        b -0.3348  [-0.9754,+0.3058]  local -0.238 -0.414
R34/C10/STEADY         b -0.5034  [-0.9203,-0.0865]  local -0.438 -0.553
R34/C10/STARTUP        b -0.4241  [-1.1811,+0.3329]  local -0.305 -0.514

### DRIFT ESTIMATOR ROBUSTNESS  (agree2 uses only the two window endpoints)
family       window     endpoint OLS-window
R18/C10      STEADY      -0.2800    -0.2837
R18/C100     STEADY      -0.2262    -0.2285
R10/C10      STEADY      -0.2759    -0.2767
R34/C10      STEADY      -0.2940    -0.2973
R18/C10      STARTUP     -0.3155    -0.3129
R18/C100     STARTUP     -0.4569    -0.5073
R10/C10      STARTUP     -0.3153    -0.3167
R34/C10      STARTUP     -0.2609    -0.2679

### FORM-FREE TEST vs the sqrt(N) exponent -0.500
A 3-4 point log-log fit is fragile (local slopes above are visibly non-constant), so the
primary claim is stated WITHOUT assuming a power law: count how many adjacent-rung local
exponents are SHALLOWER than -0.500 and sign-test them.
quantity   global fits (8 settings)   adjacent-rung local slopes
drift (weighted)    8/ 8 shallower  p=3.91e-03   18/20 shallower  p=2.01e-04
drift (equal-w)     8/ 8 shallower  p=3.91e-03   18/20 shallower  p=2.01e-04
|2p-1| raw          7/ 8 shallower  p=3.52e-02   14/20 shallower  p=5.77e-02
|2p-1| excess       7/ 8 shallower  p=3.52e-02   14/20 shallower  p=5.77e-02

split by window (adjacent-rung local slopes shallower than -0.500):
  drift (weighted)   STEADY   10/10   p=0.0010
  drift (weighted)   STARTUP   8/10   p=0.0547
  |2p-1| raw         STEADY    5/10   p=0.6230
  |2p-1| raw         STARTUP   9/10   p=0.0107

READING:
  drift  decays STRICTLY MORE SLOWLY than m^-1/2.  In STEADY every one of the 10 adjacent-rung
         exponents is shallower than -0.500 (p=9.8e-4); pooled over both windows 18/20
         (p=2.0e-4).  This survives the weighting fix, the exact-null fix, full n, and the
         switch from the 2-point endpoint drift to an OLS drift over the whole window.
  |2p-1| decays essentially EXACTLY like m^-1/2.  In STEADY the local exponents split 5/10
         either side of -0.500 (p=0.62).  It does NOT refute sqrt(N); it is consistent with it.
  WHY THEY DIFFER: |2p-1| carries its own binomial noise floor 2*null-1, which IS m^-1/2 to
         3 decimals by construction (fit b = -0.498 .. -0.500), and that floor is 45-84% of
         raw |2p-1| at every R18/C10 STEADY rung (17.9-90.3% across all cells).  An exponent
         near -1/2 for |2p-1| is therefore near-tautological and carries almost no evidence
         about the noise model.  Once the floor is subtracted, the excess exponent is
         -0.14 .. -0.51 with rung-level CIs so wide that NONE of the 8 excludes -0.500.

HONEST BOTTOM LINE
  The sqrt(N) refutation rests entirely on the DRIFT observable, not on the agreement
  observable.  Under the seed bootstrap the task specifies, all 8 corrected drift CIs exclude
  -0.500.  Under the conservative rung-level interval only 2 of 8 do (R18/C10 STEADY,
  R18/C100 STEADY -- the two 4-rung, 10-seed cells).  What is robust under every treatment is
  the DIRECTION and its consistency: drift is shallower than m^-1/2 in 8/8 settings and 18/20
  adjacent rungs.  The paper should claim the direction, report the interval it can defend,
  and state the |2p-1| ~ m^-0.47 coincidence explicitly rather than let a reader find it.

END
